,issurf,NC,NEO,NPO,HG_SO4,HG_COO,HG_ABS,HG_IOS,HG_Nonionic,cnt
Cosolv_13,0,4.0,2.15,0.0,0,0,0,0,1,2
Cosolv_14,0,4.0,3.0,0.0,0,0,0,0,1,2
Cosolv_15,0,4.0,0.0,0.0,0,0,0,0,1,2
Cosolv_16,0,6.0,10.0,0.0,0,0,0,0,1,2
Cosolv_17,0,4.0,5.0,0.0,0,0,0,0,1,2
Cosolv_18,0,18.0,11.0,0.0,0,0,0,0,1,2
Cosolv_19,0,4.0,20.0,0.0,0,0,0,0,1,3
Cosolv_20,0,4.0,2.0,0.0,0,0,0,0,1,3
Cosolv_21,0,4.0,8.0,0.0,0,0,0,0,1,3
Cosolv_22,0,6.0,9.8,0.0,0,0,0,0,1,3
Cosolv_23,0,10.0,16.0,0.0,0,0,0,0,1,4
Cosolv_24,0,4.0,6.0,0.0,0,0,0,0,1,5
Cosolv_25,0,10.0,10.0,0.0,0,0,0,0,1,5
Cosolv_26,0,4.0,1.0,0.0,0,0,0,0,1,6
Cosolv_27,0,5.0,0.0,0.0,0,0,0,0,1,6
Cosolv_28,0,4.0,2.2,0.0,0,0,0,0,1,7
Cosolv_29,0,6.0,5.0,1.0,0,0,0,0,1,9
Cosolv_30,0,4.0,2.0,1.0,0,0,0,0,1,10
Cosolv_31,0,4.0,4.0,0.0,0,0,0,0,1,10
Cosolv_32,0,4.0,5.0,0.0,0,0,0,0,1,10
Cosolv_33,0,4.0,10.0,0.0,0,0,0,0,1,12
Cosolv_34,0,4.0,1.0,0.0,0,0,0,0,1,13
Cosolv_35,0,6.0,5.0,0.0,0,0,0,0,1,16
Cosolv_36,0,10.0,15.0,0.0,0,0,0,0,1,16
Cosolv_37,0,6.0,2.0,1.0,0,0,0,0,1,23
Cosolv_38,0,10.0,12.0,0.0,0,0,0,0,1,24
Cosolv_39,0,6.0,5.0,0.0,0,0,0,0,1,28
Cosolv_40,0,6.0,4.0,0.0,0,0,0,0,1,30
Cosolv_41,0,4.0,2.0,0.0,0,0,0,0,1,32
Cosolv_42,0,4.0,3.0,0.0,0,0,0,0,1,40
Cosolv_43,0,4.0,0.0,0.0,0,0,0,0,1,45
Cosolv_44,0,4.0,5.0,0.0,0,0,0,0,1,88
Cosolv_45,0,6.0,6.0,0.0,0,0,0,0,1,124
Cosolv_46,0,6.0,2.0,0.0,0,0,0,0,1,175
Cosolv_47,0,4.0,0.0,0.0,0,0,0,0,1,182
Cosolv_48,0,4.0,3.0,0.0,0,0,0,0,1,560
Cosolv_49,0,6.0,2.0,0.0,1,0,0,0,0,1
