,MW,EACN,Vm,density,TAN,active,PCA_1,PCA_2,PCA_3
Oil_12 + 50% Oil_E,377.022596898419,19.167961125555998,435.76110589998297,0.8652047917855109,1.75,1,508.7709402404861,15.563931796403935,385.55080983091847
Oil_12 + 50% Oil_I,190.11837650856998,9.59435097246164,232.61603823039502,0.8173055390113159,1.75,1,200.26673338997725,17.93131931949666,186.39306339876242
Oil_12 + 50% Oil_J,308.95807617466704,15.681829503232699,359.68453227689105,0.85896959265634,1.75,1,402.70365695370486,15.69151692387134,306.01322076391466
Oil_12 + 9.67% Oil_B,435.87643960936305,13.9939139626214,450.450579564466,0.9676454185735659,3.16155,1,606.3231792326652,7.4906871770782075,227.86596752408386
Oil_13,283.8706911323282,12.47761594130315,321.93949562155035,0.8618333120206225,0.0,1,296.9413585832582,12.934724085149435,305.0690429579748
Oil_14,245.23,9.582906918086712,321.93949562155035,0.8618333120206225,0.0,0,191.22477660192615,9.881073935992472,336.9132263475377
Oil_15,319.955222750864,12.35,343.85300671774803,0.9305,0.11,0,311.6872268853904,5.76891042593195,350.92055943900544
Oil_15 + 10% Oil_J,304.536259489926,12.7299355433587,334.259004560688,0.9110787004531821,0.099,0,289.57662774136315,7.402647718639692,361.211343804037
Oil_15 + 10% Oil_L,256.528747972003,9.190024647837811,277.606292082336,0.9240739683808,0.099,0,215.18086659381385,5.91689902906275,280.2625598054212
Oil_15 + 12% Oil_L,246.74598652401403,8.70263692592027,267.388542975976,0.9227993981259829,0.0968,0,200.09737341141155,5.95821289726431,269.54079801566513
Oil_15 + 22% Oil_L,207.23189323177,6.73400219883081,226.117466953936,0.9164789258584191,0.0858,0,138.3506609831165,6.201522417507612,226.9645078067002
Oil_15 + 22.7% Oil_L,204.934606178394,6.6195488811773,223.71803169616402,0.916039733697998,0.08503,0,134.71046789167642,6.220343901544942,224.53393031102257
Oil_16,283.8706911323282,12.47761594130315,321.93949562155035,0.8618333120206225,0.182,0,241.13505636581934,10.937068052929096,375.0066388498731
Oil_17,434.74837130000003,13.0,463.880037665386,0.9372,2.05,1,552.9608571087334,7.914316000834788,274.2639420690063
Oil_17 + 10.4% Oil_G,306.022010666809,10.414898772738,341.173653889923,0.8969684709756179,1.8368,1,373.2956405749509,11.28748054578241,206.41011906625448
Oil_17 + 10.6% Oil_I,335.08534862676004,11.445283771582,370.16463325176903,0.905233289531607,1.8327,1,416.4120540325597,10.697138777230371,230.21405530400762
