,issurf,NC,NEO,NPO,HG_SO4,HG_COO,HG_ABS,HG_IOS,HG_Nonionic,cnt,label
Surf_59,1,0.5454545454545454,0.25,0.38461538461538464,0.0,1.0,0.0,0.0,0.0,0.048638132295719845,21
Surf_60,1,0.5454545454545454,0.2,0.5384615384615385,0.0,1.0,0.0,0.0,0.0,0.05058365758754864,6
Surf_61,1,0.5454545454545454,0.6,0.6923076923076923,0.0,1.0,0.0,0.0,0.0,0.054474708171206226,26
Surf_62,1,0.5454545454545454,0.1,0.5384615384615385,0.0,1.0,0.0,0.0,0.0,0.058365758754863814,76
Surf_63,1,0.5454545454545454,0.1,0.5384615384615385,0.0,1.0,0.0,0.0,0.0,0.10116731517509728,76
Surf_64,1,0.31818181818181823,0.3,0.6923076923076923,0.0,1.0,0.0,0.0,0.0,0.14007782101167315,61
Surf_65,1,0.5454545454545454,0.45,0.38461538461538464,0.0,1.0,0.0,0.0,0.0,0.20233463035019456,36
Surf_66,1,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.062256809338521395,10
Surf_67,1,0.38636363636363635,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7568093385214008,28
Surf_68,1,0.4431818181818181,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7704280155642024,28
Surf_69,1,0.40909090909090906,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8832684824902723,28
Surf_70,1,0.28409090909090906,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4
Surf_71,1,0.2954545454545454,0.04,0.1076923076923077,0.0,0.0,0.0,0.0,1.0,0.0,2
Surf_72,1,0.2727272727272727,0.1,0.1076923076923077,0.0,0.0,0.0,0.0,1.0,0.0,2
Surf_73,1,0.5909090909090909,0.15,0.5384615384615385,0.0,0.0,0.0,0.0,1.0,0.0,7
Surf_74,1,0.36363636363636365,0.02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55
Surf_75,1,0.5454545454545454,0.45,0.38461538461538464,0.0,0.0,0.0,0.0,1.0,0.0,48
Surf_76,1,0.5454545454545454,0.1,0.5384615384615385,0.0,0.0,0.0,0.0,1.0,0.0,7
Surf_77,1,0.5454545454545454,0.3,0.5384615384615385,0.0,0.0,0.0,0.0,1.0,0.0,29
Surf_78,1,0.5454545454545454,0.45,0.6923076923076923,0.0,0.0,0.0,0.0,1.0,0.0,49
Surf_79,1,0.5909090909090909,0.3,0.5384615384615385,0.0,0.0,0.0,0.0,1.0,0.0,29
Surf_80,1,0.6363636363636364,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15
Surf_81,1,0.6363636363636364,0.32,0.1076923076923077,0.0,0.0,0.0,0.0,1.0,0.0,15
Surf_82,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,44
Surf_83,1,0.28409090909090906,0.0,0.046153846153846156,0.0,0.0,0.0,0.0,1.0,0.0019455252918287938,55
Surf_84,1,0.28409090909090906,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0019455252918287938,55
Surf_85,1,0.5909090909090909,0.15,0.5384615384615385,0.0,0.0,0.0,0.0,1.0,0.0019455252918287938,7
Surf_86,1,0.2159090909090909,0.07,0.0,0.0,0.0,0.0,0.0,1.0,0.0038910505836575876,30
Surf_87,1,0.28409090909090906,0.0,0.13846153846153847,0.0,0.0,0.0,0.0,1.0,0.0038910505836575876,2
Surf_88,1,0.31818181818181823,0.3,0.6923076923076923,0.0,0.0,0.0,0.0,1.0,0.0038910505836575876,27
Surf_89,1,0.5909090909090909,0.1,0.1076923076923077,0.0,0.0,0.0,0.0,1.0,0.0038910505836575876,15
Surf_90,1,0.5454545454545454,0.3,0.6923076923076923,0.0,0.0,0.0,0.0,1.0,0.005836575875486381,49
Surf_91,1,0.20454545454545456,0.12,0.0,0.0,0.0,0.0,0.0,1.0,0.007782101167315175,30
Surf_92,1,0.20454545454545456,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.042801556420233464,65
Surf_93,1,0.2159090909090909,0.12,0.0,0.0,0.0,0.0,0.0,1.0,0.048638132295719845,30
Surf_94,1,0.22727272727272727,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0019455252918287938,34
Surf_95,1,0.40909090909090906,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0038910505836575876,57
Surf_96,1,0.22727272727272727,0.0,0.09230769230769231,1.0,0.0,0.0,0.0,0.0,0.0,63
Surf_97,1,0.1931818181818182,0.0,0.07692307692307693,1.0,0.0,0.0,0.0,0.0,0.0,63
Surf_98,1,0.2159090909090909,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,47
Surf_99,1,0.2159090909090909,0.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,47
Surf_100,1,0.20454545454545456,0.2,0.5384615384615385,1.0,0.0,0.0,0.0,0.0,0.0,17
Surf_101,1,0.28409090909090906,0.09,0.0,1.0,0.0,0.0,0.0,0.0,0.0,47
Surf_102,1,0.2727272727272727,0.1,0.1076923076923077,1.0,0.0,0.0,0.0,0.0,0.0,24
Surf_103,1,0.2954545454545454,0.1,0.27692307692307694,1.0,0.0,0.0,0.0,0.0,0.0,45
Surf_104,1,0.2954545454545454,0.06,0.27692307692307694,1.0,0.0,0.0,0.0,0.0,0.0,45
Surf_105,1,0.2954545454545454,0.0,0.1076923076923077,1.0,0.0,0.0,0.0,0.0,0.0,24
Surf_106,1,0.31818181818181823,0.2,0.5384615384615385,1.0,0.0,0.0,0.0,0.0,0.0,17
Surf_107,1,0.31818181818181823,0.3,0.5384615384615385,1.0,0.0,0.0,0.0,0.0,0.0,53
Surf_108,1,0.31818181818181823,0.3,0.6923076923076923,1.0,0.0,0.0,0.0,0.0,0.0,12
Surf_109,1,0.31818181818181823,0.6,0.6923076923076923,1.0,0.0,0.0,0.0,0.0,0.0,42
Surf_110,1,0.36363636363636365,0.14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18
Surf_111,1,0.36363636363636365,0.3,0.1076923076923077,1.0,0.0,0.0,0.0,0.0,0.0,64
Surf_112,1,0.4545454545454545,0.14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,71
Surf_113,1,0.4545454545454545,0.15,0.38461538461538464,1.0,0.0,0.0,0.0,0.0,0.0,79
Surf_114,1,0.4545454545454545,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,57
Surf_115,1,0.4545454545454545,0.3,0.5384615384615385,1.0,0.0,0.0,0.0,0.0,0.0,62
Surf_116,1,0.4545454545454545,0.08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,71
Surf_117,1,0.5454545454545454,0.15,0.38461538461538464,1.0,0.0,0.0,0.0,0.0,0.0,19
Surf_118,1,0.5454545454545454,0.25,0.38461538461538464,1.0,0.0,0.0,0.0,0.0,0.0,38
Surf_119,1,0.5454545454545454,0.45,0.6923076923076923,1.0,0.0,0.0,0.0,0.0,0.0,43
Surf_120,1,0.5909090909090909,0.085,0.1,1.0,0.0,0.0,0.0,0.0,0.0,32
Surf_121,1,0.5909090909090909,0.099,0.12246153846153847,1.0,0.0,0.0,0.0,0.0,0.0,32
Surf_122,1,0.5909090909090909,0.115,0.14615384615384616,1.0,0.0,0.0,0.0,0.0,0.0,32
Surf_123,1,0.6363636363636364,0.45,0.4,1.0,0.0,0.0,0.0,0.0,0.0,13
Surf_124,1,0.6363636363636364,0.3,0.38461538461538464,1.0,0.0,0.0,0.0,0.0,0.0,38
Surf_125,1,0.6363636363636364,0.22,0.5384615384615385,1.0,0.0,0.0,0.0,0.0,0.0,23
Surf_126,1,0.6363636363636364,0.55,0.24615384615384617,1.0,0.0,0.0,0.0,0.0,0.0,33
Surf_127,1,0.6363636363636364,0.5,0.1076923076923077,1.0,0.0,0.0,0.0,0.0,0.0,33
Surf_128,1,0.13636363636363638,0.08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34
Surf_129,1,0.22727272727272727,0.0,0.18461538461538463,1.0,0.0,0.0,0.0,0.0,0.0019455252918287938,60
Surf_130,1,0.13636363636363638,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0019455252918287938,34
Surf_131,1,0.1931818181818182,0.0,0.12307692307692308,1.0,0.0,0.0,0.0,0.0,0.0019455252918287938,63
Surf_132,1,0.2954545454545454,0.04,0.1076923076923077,1.0,0.0,0.0,0.0,0.0,0.0019455252918287938,24
Surf_133,1,0.2954545454545454,0.0,0.2153846153846154,1.0,0.0,0.0,0.0,0.0,0.0019455252918287938,60
Surf_134,1,0.31818181818181823,0.15,0.38461538461538464,1.0,0.0,0.0,0.0,0.0,0.0019455252918287938,79
Surf_135,1,0.31818181818181823,0.45,0.5384615384615385,1.0,0.0,0.0,0.0,0.0,0.0019455252918287938,53
Surf_136,1,0.36363636363636365,0.02,0.1076923076923077,1.0,0.0,0.0,0.0,0.0,0.0019455252918287938,73
Surf_137,1,0.36363636363636365,0.06,0.1076923076923077,1.0,0.0,0.0,0.0,0.0,0.0019455252918287938,73
Surf_138,1,0.36363636363636365,0.0,0.1076923076923077,1.0,0.0,0.0,0.0,0.0,0.0019455252918287938,73
Surf_139,1,0.4545454545454545,0.46,0.38461538461538464,1.0,0.0,0.0,0.0,0.0,0.0019455252918287938,72
Surf_140,1,0.5454545454545454,0.2,0.5384615384615385,1.0,0.0,0.0,0.0,0.0,0.0019455252918287938,23
Surf_141,1,0.5454545454545454,0.1,0.1076923076923077,1.0,0.0,0.0,0.0,0.0,0.0019455252918287938,32
Surf_142,1,0.5909090909090909,0.2,0.6153846153846154,1.0,0.0,0.0,0.0,0.0,0.0019455252918287938,23
Surf_143,1,0.5909090909090909,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0019455252918287938,41
Surf_144,1,0.5909090909090909,0.1,0.1076923076923077,1.0,0.0,0.0,0.0,0.0,0.0019455252918287938,32
Surf_145,1,0.5909090909090909,0.12,0.1076923076923077,1.0,0.0,0.0,0.0,0.0,0.0019455252918287938,32
Surf_146,1,0.5909090909090909,0.085,0.14615384615384616,1.0,0.0,0.0,0.0,0.0,0.0019455252918287938,32
Surf_147,1,0.6363636363636364,0.4,0.23076923076923078,1.0,0.0,0.0,0.0,0.0,0.0019455252918287938,59
Surf_148,1,0.6363636363636364,0.1,0.5384615384615385,1.0,0.0,0.0,0.0,0.0,0.0019455252918287938,52
Surf_149,1,0.2159090909090909,0.03,0.0,1.0,0.0,0.0,0.0,0.0,0.0038910505836575876,34
Surf_150,1,0.31818181818181823,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0038910505836575876,60
Surf_151,1,0.7272727272727273,0.02,0.15384615384615385,1.0,0.0,0.0,0.0,0.0,0.0038910505836575876,75
Surf_152,1,0.36363636363636365,0.1,0.1076923076923077,1.0,0.0,0.0,0.0,0.0,0.0038910505836575876,73
Surf_153,1,0.5454545454545454,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0038910505836575876,8
Surf_154,1,0.5454545454545454,0.06,0.1076923076923077,1.0,0.0,0.0,0.0,0.0,0.0038910505836575876,32
Surf_155,1,0.5909090909090909,0.1,0.23076923076923078,1.0,0.0,0.0,0.0,0.0,0.0038910505836575876,9
Surf_156,1,0.5909090909090909,0.1,0.38461538461538464,1.0,0.0,0.0,0.0,0.0,0.0038910505836575876,19
Surf_157,1,0.5909090909090909,0.0,0.1076923076923077,1.0,0.0,0.0,0.0,0.0,0.0038910505836575876,32
Surf_158,1,0.6363636363636364,0.1,0.5384615384615385,1.0,0.0,0.0,0.0,0.0,0.0038910505836575876,52
Surf_159,1,0.20454545454545456,0.09,0.0,1.0,0.0,0.0,0.0,0.0,0.005836575875486381,47
Surf_160,1,0.6363636363636364,0.1,0.23076923076923078,1.0,0.0,0.0,0.0,0.0,0.005836575875486381,9
Surf_161,1,0.2727272727272727,0.06,0.1076923076923077,1.0,0.0,0.0,0.0,0.0,0.005836575875486381,24
Surf_162,1,0.5454545454545454,0.1,0.38461538461538464,1.0,0.0,0.0,0.0,0.0,0.005836575875486381,19
Surf_163,1,0.6363636363636364,0.1,0.38461538461538464,1.0,0.0,0.0,0.0,0.0,0.005836575875486381,19
Surf_164,1,0.6363636363636364,0.4,0.24615384615384617,1.0,0.0,0.0,0.0,0.0,0.005836575875486381,59
Surf_165,1,0.09090909090909091,0.0,0.06153846153846154,1.0,0.0,0.0,0.0,0.0,0.005836575875486381,34
Surf_166,1,0.20454545454545456,0.0,0.23076923076923078,1.0,0.0,0.0,0.0,0.0,0.007782101167315175,60
Surf_167,1,0.2727272727272727,0.02,0.1076923076923077,1.0,0.0,0.0,0.0,0.0,0.007782101167315175,24
Surf_168,1,0.31818181818181823,0.1,0.5384615384615385,1.0,0.0,0.0,0.0,0.0,0.007782101167315175,17
Surf_169,1,0.5454545454545454,0.5,0.5384615384615385,1.0,0.0,0.0,0.0,0.0,0.007782101167315175,43
Surf_170,1,0.5909090909090909,0.2,0.6923076923076923,1.0,0.0,0.0,0.0,0.0,0.007782101167315175,5
Surf_171,1,0.6363636363636364,0.14,0.1076923076923077,1.0,0.0,0.0,0.0,0.0,0.009727626459143969,32
Surf_172,1,0.4545454545454545,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.011673151750972763,71
Surf_173,1,0.4545454545454545,0.1,0.38461538461538464,1.0,0.0,0.0,0.0,0.0,0.011673151750972763,79
Surf_174,1,0.5454545454545454,0.2,0.6923076923076923,1.0,0.0,0.0,0.0,0.0,0.011673151750972763,5
Surf_175,1,0.5909090909090909,0.1,0.6923076923076923,1.0,0.0,0.0,0.0,0.0,0.011673151750972763,5
Surf_176,1,0.6363636363636364,0.18,0.1076923076923077,1.0,0.0,0.0,0.0,0.0,0.013618677042801557,32
Surf_177,1,0.36363636363636365,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.01556420233463035,18
Surf_178,1,0.36363636363636365,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.01556420233463035,57
Surf_179,1,0.5454545454545454,0.1,0.5384615384615385,1.0,0.0,0.0,0.0,0.0,0.01556420233463035,52
Surf_180,1,0.6363636363636364,0.22,0.38461538461538464,1.0,0.0,0.0,0.0,0.0,0.01556420233463035,38
