,Cat,Formulation,Oil
188,0,0.5%#Surf_90#0.5%#Surf_68#,Oil_27
189,0,0.25%#Surf_63#0.25%#Surf_13#1%#Cosolv_48#,Oil_27
190,0,0.5%#Surf_63#0.5%#Surf_68#,Oil_27
191,0,0.5%#Surf_78#0.5%#Surf_68#,Oil_27
192,0,0.25%#Surf_63#0.25%#Surf_13#1%#Cosolv_48#,Oil_27
193,0,0.5%#Surf_63#0.5%#Surf_14#,Oil_27
194,0,0.5%#Surf_90#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
195,0,0.5%#Surf_55#0.5%#Surf_13#1%#Cosolv_48#,Oil_27
196,0,0.5%#Surf_63#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
197,0,0.5%#Surf_55#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
198,0,0.25%#Surf_63#0.25%#Surf_68#1%#Cosolv_48#,Oil_27
199,0,0.5%#Surf_90#0.5%#Surf_68#,Oil_27
200,0,0.5%#Surf_55#0.5%#Surf_69#1%#Cosolv_48#,Oil_27
201,0,0.5%#Surf_42#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
202,0,0.5%#Surf_63#0.5%#Surf_69#1%#Cosolv_48#,Oil_27
203,0,0.25%#Surf_42#0.25%#Surf_68#1%#Cosolv_48#,Oil_27
204,0,0.25%#Surf_55#0.25%#Surf_69#0.5%#Cosolv_48#,Oil_27
205,0,0.5%#Surf_63#0.5%#Surf_13#1%#Cosolv_48#,Oil_27
206,0,0.5%#Surf_63#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
207,0,0.25%#Surf_63#0.25%#Surf_13#1%#Cosolv_48#,Oil_27
208,0,0.5%#Surf_70#0.5%#Surf_14#2%#Cosolv_41#,Oil_27
209,0,0.5%#Surf_70#0.5%#Surf_13#2%#Cosolv_41#,Oil_27
210,0,0.4%#Surf_63#0.6%#Surf_68#1%#Cosolv_48#,Oil_27
211,0,0.5%#Surf_55#0.5%#Surf_13#1%#Cosolv_48#,Oil_27
212,1,0.4%#Surf_63#0.6%#Surf_68#1%#Cosolv_48#,Oil_27
213,1,0.4%#Surf_63#0.6%#Surf_68#1%#Cosolv_48#,Oil_27 + 15.9% Oil_C
214,1,0.4%#Surf_63#0.6%#Surf_68#1%#Cosolv_48#,Oil_27 + 27.4% Oil_F
215,1,0.4%#Surf_63#0.6%#Surf_68#1%#Cosolv_48#,Oil_27 + 12.5% Oil_G
216,1,0.4%#Surf_63#0.6%#Surf_68#1%#Cosolv_48#,Oil_27 + 5.7% Oil_L
217,1,0.4%#Surf_63#0.6%#Surf_68#1%#Cosolv_48#,Oil_27
218,1,0.4%#Surf_63#0.6%#Surf_68#1%#Cosolv_48#,Oil_27 + 15.9% Oil_C
219,1,0.4%#Surf_63#0.6%#Surf_68#1%#Cosolv_48#,Oil_27 + 27.4% Oil_F
220,1,0.4%#Surf_63#0.6%#Surf_68#1%#Cosolv_48#,Oil_27 + 12.5% Oil_G
221,1,0.4%#Surf_63#0.6%#Surf_68#1%#Cosolv_48#,Oil_27 + 5.7% Oil_L
222,0,0.5%#Surf_69#0.5%#Surf_4#2%#Cosolv_41#,Oil_27
223,0,0.5%#Surf_70#0.5%#Surf_4#2%#Cosolv_41#,Oil_27
224,0,0.5%#Surf_58#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
225,0,0.5%#Surf_77#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
226,0,0.25%#Surf_58#0.25%#Surf_68#0.5%#Cosolv_48#,Oil_27
227,0,0.6%#Surf_58#0.4%#Surf_68#1%#Cosolv_48#,Oil_27
228,0,0.5%#Surf_42#0.5%#Surf_8#1%#Cosolv_48#,Oil_27
229,0,0.4%#Surf_58#0.6%#Surf_68#1%#Cosolv_48#,Oil_27
230,0,0.5%#Surf_54#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
231,0,0.3%#Surf_63#0.7%#Surf_68#1%#Cosolv_48#,Oil_27
232,0,0.25%#Surf_55#0.75%#Surf_68#1%#Cosolv_48#,Oil_27
233,0,0.3%#Surf_55#0.7%#Surf_68#1%#Cosolv_48#,Oil_27
234,0,0.5%#Surf_58#0.5%#Surf_7#1%#Cosolv_48#,Oil_27
235,0,0.3%#Surf_55#0.7%#Surf_68#1%#Cosolv_48#,Oil_27
236,0,0.5%#Surf_45#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
237,0,0.5%#Surf_54#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
238,0,0.5%#Surf_46#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
239,0,0.25%#Surf_55#0.75%#Surf_68#1%#Cosolv_48#,Oil_27
240,0,0.5%#Surf_54#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
241,0,0.25%#Surf_63#0.75%#Surf_68#1%#Cosolv_48#,Oil_27
242,0,0.25%#Surf_63#0.75%#Surf_68#1%#Cosolv_48#,Oil_27
243,0,0.25%#Surf_63#0.75%#Surf_68#1%#Cosolv_48#,Oil_27
244,0,1.5%#Surf_12#0.5%#Surf_69#2%#Cosolv_48#,Oil_27
245,0,0.75%#Surf_12#0.25%#Surf_69#1.5%#Cosolv_48#,Oil_27
246,0,1.5%#Surf_12#0.5%#Surf_69#2%#Cosolv_34#,Oil_27
247,0,0.2%#Surf_69#0.1%#Surf_93#,Oil_27
248,0,0.2%#Surf_69#0.2%#Surf_93#,Oil_27
249,0,0.5%#Surf_66#0.6%#Surf_93#,Oil_27
250,0,0.5%#Surf_66#0.1%#Surf_93#1%#Cosolv_48#,Oil_27
251,0,0.25%#Surf_69#0.25%#Surf_13#0.3%#Surf_93#,Oil_27
252,0,0.25%#Surf_69#0.25%#Surf_13#0.2%#Surf_93#,Oil_27
253,0,1%#Surf_69#1%#Cosolv_48#0.3%#Surf_93#,Oil_27
254,0,0.2%#Surf_69#0.1%#Surf_93#,Oil_27
255,0,0.2%#Surf_69#0.2%#Surf_93#,Oil_27
256,0,0.2%#Surf_69#0.2%#Surf_93#,Oil_27
257,0,2%#Surf_69#0.1%#Surf_93#1%#Cosolv_48#,Oil_27
258,0,2%#Surf_69#0.1%#Surf_93#1.5%#Cosolv_48#,Oil_27
259,0,1%#Surf_66#0.1%#Surf_93#1.5%#Cosolv_48#,Oil_27
260,0,2%#Surf_66#0.1%#Surf_93#1.5%#Cosolv_48#,Oil_27
261,0,2%#Surf_69#,Oil_27
262,0,2%#Surf_69#,Oil_27
263,0,1%#Surf_69#0.5%#Surf_159#,Oil_27
264,0,1%#Surf_69#1%#Surf_159#,Oil_27
265,0,1%#Surf_69#0.5%#Surf_159#0.5%#Cosolv_48#,Oil_27
266,0,2%#Surf_69#2%#Surf_159#,Oil_27
267,0,2%#Surf_66#2%#Cosolv_48#,Oil_27
268,0,1.33%#Surf_66#0.67%#Surf_14#2%#Cosolv_48#,Oil_27
269,0,1.33%#Surf_66#0.67%#Surf_12#2%#Cosolv_48#,Oil_27
270,0,1%#Surf_66#1%#Surf_12#2%#Cosolv_48#,Oil_27
271,0,1.33%#Surf_66#0.67%#Surf_13#2%#Cosolv_48#,Oil_27
272,0,1.33%#Surf_66#0.67%#Surf_69#2%#Cosolv_48#,Oil_27
273,0,0.5%#Surf_66#1.5%#Surf_69#2%#Cosolv_34#,Oil_27
274,0,2%#Surf_69#2%#Cosolv_48#,Oil_27
275,0,1.5%#Surf_66#0.5%#Surf_13#2%#Cosolv_48#,Oil_27
276,0,1.5%#Surf_12#0.5%#Surf_87#2%#Cosolv_48#,Oil_27
277,0,0.75%#Surf_12#1.25%#Surf_83#2%#Cosolv_48#,Oil_27
278,0,1.5%#Surf_12#0.5%#Surf_66#2%#Cosolv_48#,Oil_27
279,0,1.5%#Surf_12#0.5%#Surf_70#2%#Cosolv_48#,Oil_27
280,0,1.5%#Surf_12#0.5%#Surf_19#2%#Cosolv_48#,Oil_27
281,0,1.5%#Surf_69#0.5%#Surf_87#2%#Cosolv_48#,Oil_27
282,0,1.5%#Surf_69#0.5%#Surf_83#2%#Cosolv_48#,Oil_27
283,0,1.5%#Surf_66#0.5%#Surf_87#2%#Cosolv_48#,Oil_27
284,0,1.5%#Surf_12#0.5%#Surf_132#2%#Cosolv_48#,Oil_27
285,0,1%#Surf_12#0.5%#Surf_132#2.3%#Cosolv_48#,Oil_27
286,1,2%#Surf_212#2%#Cosolv_48#,Oil_27
287,0,2%#Surf_212#0.28%#Surf_91#,Oil_27
288,0,2%#Surf_181#2%#Cosolv_48#,Oil_27
289,0,2%#Surf_181#0.28%#Surf_91#,Oil_27
290,0,2%#Surf_214#2%#Cosolv_48#,Oil_27
291,0,2%#Surf_214#0.28%#Surf_91#,Oil_27
292,0,0.3%#Surf_181#0.3%#Surf_92#,Oil_27
