Na,Cl,Ca,Mg,S(6),pH,m_Ca+2,m_CaSO4,m_CaOH+,m_CaHSO4+,m_Cl-,m_Na+,m_NaSO4-,m_NaOH,m_SO4-2,m_Mg+2,m_MgSO4,m_MgOH+,m_HSO4-,la_H+
0.39082,0.74353,0.20262,0.16778,0.19404,-6.750993753,0.15356,0.04906,2.66E-08,1.45E-07,0.74353,0.37044,0.020372,7.27E-19,0.0672,0.11037,0.057407,6.32E-07,3.13E-07,-6.5491
1.2547,0.68778,0.082727,0.083933,0.45013,-5.888428987,0.045249,0.037478,6.25E-09,1.33E-07,0.68778,1.0877,0.16702,1.69E-18,0.19678,0.035082,0.04885,1.80E-07,9.29E-07,-6.4694
0.1186,0.10847,0.019663,0.017238,0.041965,-8.872385376,0.014108,0.005554,2.26E-07,2.26E-10,0.10847,0.11435,0.0042515,1.86E-17,0.026002,0.011077,0.0061574,4.06E-06,4.23E-09,-8.3592
0.35386,1.2897,0.19403,0.332,0.058101,-9.832562203,0.18375,0.010281,9.61E-07,9.34E-10,1.2897,0.35,0.0038613,2.05E-17,0.014604,0.30258,0.029355,6.63E-05,1.52E-09,-8.0559
0.89809,0.92654,0.13986,0.24052,0.36616,-9.573115855,0.09219,0.047672,6.51E-07,3.27E-09,0.92654,0.81825,0.079841,6.50E-17,0.1263,0.12814,0.11234,3.47E-05,1.11E-08,-8.1811
0.54408,0.78107,0.15342,0.17197,0.20689,-5.047720459,0.11384,0.039574,1.82E-09,1.26E-06,0.78107,0.51314,0.030946,9.29E-20,0.074093,0.10969,0.062274,5.86E-08,3.65E-06,-5.5166
0.54558,0.96629,0.2391,0.069651,0.098392,-8.562848593,0.20603,0.033066,3.13E-07,1.09E-08,0.96629,0.53045,0.015131,9.13E-18,0.035615,0.055068,0.01458,2.90E-06,1.73E-08,-7.5006
0.46363,0.6415,0.0078517,0.19036,0.10928,-9.245592389,0.0063779,0.0014737,2.57E-08,1.96E-10,0.6415,0.44748,0.016146,2.04E-17,0.04095,0.13964,0.050707,1.66E-05,1.04E-08,-7.8949
0.43509,1.1973,0.077808,0.49209,0.18879,-8.267313551,0.066017,0.01179,1.02E-08,3.63E-08,1.1973,0.42038,0.014715,7.28E-19,0.046208,0.37602,0.11607,2.41E-06,1.65E-07,-6.5269
0.41266,1.1049,0.073635,0.31541,0.042936,-6.867716795,0.070173,0.0034626,5.52E-09,2.17E-08,1.1049,0.40894,0.0037236,3.63E-19,0.011637,0.2913,0.024113,8.45E-07,9.84E-08,-6.221
