official_n,test_type,latitude,longitude,x,y,geologic_unit,geologic_ID,cohesion,friction_angle,Vs30_Mean,slope_angle,aspect,elevation,flowline_curvature,general_curvature,plan_curvature,profile_curvature,total_curvature
RS&AI_3358_B3,Direct Shear,34.172862,-118.659199,347080,3782567,Tsh,14,81.6,28,385.1,7.72752142,4.308637142,302.4423828,-2.40916E-05,-0.008262277,0.008978236,-0.005205016,3.35245E-05
RS&AI_3358_B3,Direct Shear,34.172862,-118.659199,347080,3782567,Tsh,14,86.4,20,385.1,7.72752142,4.308637142,302.4423828,-2.40916E-05,-0.008262277,0.008978236,-0.005205016,3.35245E-05
RS&AI_3358_B3,Direct Shear,34.172862,-118.659199,347080,3782567,Tsh,14,48,29,385.1,7.72752142,4.308637142,302.4423828,-2.40916E-05,-0.008262277,0.008978236,-0.005205016,3.35245E-05
RS&AI_3358_B3,Direct Shear,34.172862,-118.659199,347080,3782567,Tsh,14,24,35,385.1,7.72752142,4.308637142,302.4423828,-2.40916E-05,-0.008262277,0.008978236,-0.005205016,3.35245E-05
RS&AI_3358_B3,Direct Shear,34.172862,-118.659199,347080,3782567,Tsh,14,24,33,385.1,7.72752142,4.308637142,302.4423828,-2.40916E-05,-0.008262277,0.008978236,-0.005205016,3.35245E-05
RS&AI_3358_B3,Direct Shear,34.172862,-118.659199,347080,3782567,Tsh,14,33.6,27,385.1,7.72752142,4.308637142,302.4423828,-2.40916E-05,-0.008262277,0.008978236,-0.005205016,3.35245E-05
RS&AI_3358_B3,Direct Shear,34.172862,-118.659199,347080,3782567,Tsh,14,52.8,21,385.1,7.72752142,4.308637142,302.4423828,-2.40916E-05,-0.008262277,0.008978236,-0.005205016,3.35245E-05
RS&AI_3358_T1,Direct Shear,34.171639,-118.658992,347097,3782431,Tsh,14,36,18,385.1,11.29746532,18.23900032,313.658783,7.14047E-05,-0.009468346,0.009672818,-0.006286482,5.45791E-05
RS&AI_3358_T1,Direct Shear,34.171639,-118.658992,347097,3782431,Tsh,14,86.4,28,385.1,11.29746532,18.23900032,313.658783,7.14047E-05,-0.009468346,0.009672818,-0.006286482,5.45791E-05
RS&AI_3358_T1,Direct Shear,34.171639,-118.658992,347097,3782431,Tsh,14,74.4,22,385.1,11.29746532,18.23900032,313.658783,7.14047E-05,-0.009468346,0.009672818,-0.006286482,5.45791E-05
RS&AI_3358_TR2,Direct Shear,34.172647,-118.659197,347079,3782543,Tsh,14,74.4,22,385.1,7.197285175,359.000885,305.3734131,-4.50389E-06,0.007881834,0.000481048,0.003789171,1.52189E-05
RS&AI_3358_TR3,Direct Shear,34.172862,-118.659199,347080,3782567,Tsh,14,72,21,385.1,7.72752142,4.308637142,302.4423828,-2.40916E-05,-0.008262277,0.008978236,-0.005205016,3.35245E-05
RS&AI_3515-00_00,Direct Shear,34.194826,-118.537331,358349,3784826,Qal1,6,7.2,18,228.2,0.093941994,180.5297241,223.7839966,-1.0469E-10,-0.000682127,0.001105343,-0.000342874,1.206E-07
RS&AI_3515-00_00,Direct Shear,34.194826,-118.537331,358349,3784826,Qal1,6,7.2,27,228.2,0.093941994,180.5297241,223.7839966,-1.0469E-10,-0.000682127,0.001105343,-0.000342874,1.206E-07
RS&AI_3801-00_B1,Direct Shear,34.17534,-118.640429,348814,3782814,Qal2,7,12,20,293.5,0.330198526,357.3815918,265.6303711,-3.00808E-10,-0.001242111,-0.103542656,-2.43262E-05,3.56841E-07
RS&AI_3801-00_B1,Direct Shear,34.17534,-118.640429,348814,3782814,Qal2,7,57.6,31,293.5,0.330198526,357.3815918,265.6303711,-3.00808E-10,-0.001242111,-0.103542656,-2.43262E-05,3.56841E-07
RS&AI_4032-01_B1,Direct Shear,34.131908,-118.750685,338569,3778166,Tv,16,10.8,24,518.9,19.07000542,211.3194733,310.4166565,0.002235963,0.054708298,0.037912458,0.0120286,0.001074921
RS&AI_4032-01_B3,Direct Shear,34.131099,-118.74988,338642,3778075,Tv,16,9.6,25,518.9,27.8038559,219.0769196,279.4907227,0.001581498,-0.029241344,-0.007500858,-0.007381397,0.000194085
RS&AI_4032-01_B4,Direct Shear,34.130975,-118.749132,338710,3778060,Tv,16,14.4,21.5,518.9,26.48869133,160.2512512,278.4203491,0.000171144,-0.022408731,0.009888021,-0.011566118,0.000285469
RS&AI_4032-01_P12,Direct Shear,34.130781,-118.749413,338684,3778039,Tv,16,14.4,18,518.9,22.13666534,154.4461823,275.7377625,-2.92583E-05,0.005570479,0.018517416,-0.003773305,7.93486E-05
RS&AI_4032-01_P3,Direct Shear,34.130864,-118.7498,338649,3778049,Tv,16,19.2,25,518.9,24.75389671,222.7998047,275.3086243,0.000183768,-0.035359126,-0.004059929,-0.011838247,0.000254878
RS&CI_2223_B39,Direct Shear,34.066928,-118.497654,361798,3770589,Kss,5,4.8,25.5,502.5,11.79679775,124.7837219,210.823349,0.000485454,-0.00664039,-0.000158771,-0.003083125,0.000258529
RS&CI_2223_B39,Direct Shear,34.066928,-118.497654,361798,3770589,Kss,5,19.2,35,502.5,11.79679775,124.7837219,210.823349,0.000485454,-0.00664039,-0.000158771,-0.003083125,0.000258529
RS&CI_2369_B1,Direct Shear,34.04175,-118.642347,348399,3768002,Tv,16,26.4,33,518.9,10.88352871,183.4760895,128.3422699,9.00144E-05,0.023941681,-0.01669628,0.014376522,0.000252628
RS&CI_2369_B1,Direct Shear,34.04175,-118.642347,348399,3768002,Tv,16,11.52,26,518.9,10.88352871,183.4760895,128.3422699,9.00144E-05,0.023941681,-0.01669628,0.014376522,0.000252628
RS&CI_2369_B1,Direct Shear,34.04175,-118.642347,348399,3768002,Tv,16,24,30,518.9,10.88352871,183.4760895,128.3422699,9.00144E-05,0.023941681,-0.01669628,0.014376522,0.000252628
RS&CI_4259_B1,Direct Shear,34.031912,-118.722342,340996,3767032,Tsh,14,0,33,385.1,6.375602245,181.6249847,6.327089787,-1.72409E-05,0.01358356,-0.019059323,0.0087569,8.79407E-05
RS&CI_4259_B1,Direct Shear,34.031912,-118.722342,340996,3767032,Tsh,14,14.4,23,385.1,6.375602245,181.6249847,6.327089787,-1.72409E-05,0.01358356,-0.019059323,0.0087569,8.79407E-05
RS&CI_4259_B1,Direct Shear,34.031912,-118.722342,340996,3767032,Tsh,14,48,38,385.1,6.375602245,181.6249847,6.327089787,-1.72409E-05,0.01358356,-0.019059323,0.0087569,8.79407E-05
RS&CI_4797_B1,Direct Shear,34.042078,-118.641518,348476,3768037,Tv,16,72,22,518.9,1.215231895,118.252739,146.3100586,1.50132E-06,0.008551613,0.388732821,-0.003967696,0.000106026
RS&CI_4797_B1,Direct Shear,34.042078,-118.641518,348476,3768037,Tv,16,49.2,31,518.9,1.215231895,118.252739,146.3100586,1.50132E-06,0.008551613,0.388732821,-0.003967696,0.000106026
S-EC_21408_TP,Direct Shear,34.213846,-118.685936,344690,3787152,Kss,5,8.064,38.5,502.5,11.80235386,26.9066925,474.7859802,0.000201801,0.012568619,-0.004440127,0.00676428,9.55992E-05
S-EC_21408_TP,Direct Shear,34.213846,-118.685936,344690,3787152,Kss,5,3.216,45.3,502.5,11.80235386,26.9066925,474.7859802,0.000201801,0.012568619,-0.004440127,0.00676428,9.55992E-05
S-TGC_16989_TP1,Direct Shear,34.123419,-118.629954,349688,3777040,Tv,16,14.4,25,518.9,15.44205952,198.8863525,414.7658997,0.000497735,-0.028244184,-0.007444357,-0.010805591,0.000234905
S-TGC_16989_TP1,Direct Shear,34.123419,-118.629954,349688,3777040,Tv,16,30.72,29,518.9,15.44205952,198.8863525,414.7658997,0.000497735,-0.028244184,-0.007444357,-0.010805591,0.000234905
S-TGC_51692_T7,Direct Shear,34.041209,-118.848639,329354,3768267,Tsh,14,14.4,21,385.1,9.57516098,217.3498077,145.6419373,-8.89361E-05,0.05234722,0.094357982,0.009833506,0.000378088
S-TGC_51692_T7,Direct Shear,34.041209,-118.848639,329354,3768267,Tsh,14,31.2,31,385.1,9.57516098,217.3498077,145.6419373,-8.89361E-05,0.05234722,0.094357982,0.009833506,0.000378088
S-TI_124798_B1,Direct Shear,34.071407,-118.664364,346420,3771323,Tss,15,4.8,28,468.4,18.399086,201.1067657,701.9073486,0.001078866,0.026909966,-0.010965735,0.014611592,0.000495946
S-TI_124798_B1,Direct Shear,34.071407,-118.664364,346420,3771323,Tss,15,34.8,32,468.4,18.399086,201.1067657,701.9073486,0.001078866,0.026909966,-0.010965735,0.014611592,0.000495946
S-TI_151100_TP1,Direct Shear,34.073768,-118.662327,346612,3771582,Tss,15,40.8,38,468.4,17.40742874,265.0441895,770.5150146,-0.000209116,-0.011321167,0.017169811,-0.009594797,0.000159994
